OBJECTID,NAAM,TYPE,STRAATNAAM,DISTRICT,POSTCODE,CLUSTER,BEHEERDER,SHAPE_Length,SHAPE_Area
26343,SCHIJNTJE,park,TEN EEKHOVELEI,DEURNE,2100,Cluster Noord,SB,2062.85024087312,67698.4652575318
26344,GROENENBORGERPARK,buurtpark,OOSTERVELDLAAN,ANTWERPEN,2020,Cluster Zuid,niet SB,89.5843243568399,342.198765900211
26345,GROENENBORGERPARK,buurtpark,OOSTERVELDLAAN,ANTWERPEN,2020,Cluster Zuid,niet SB,55.3175021858391,5.39884002645969
26346,DISTELHOEK,buurtpark,OORTBROEK,MERKSEM,2170,Cluster Noord,SB,71.3130395513428,144.11457602943
26347,DISTELHOEK,buurtpark,OORTBROEK,MERKSEM,2170,Cluster Noord,SB,899.732222023197,40833.1558954486
26348,BUND,buurtpark,BUND,EKEREN,2180,Cluster Noord,,265.10731780702,2115.07931422481
26349,RIETBANK,buurtpark,RIETBANK,BERENDRECHT-ZANDVLIET-LILLO,2040,Cluster Noord,,118.300107428624,474.09249011122
26350,FLORENT PAUWELSLEI BUURTPARK,buurtpark,FLORENT PAUWELSLEI,DEURNE,2100,Cluster Zuid,,274.309405854808,1612.19885014688
26351,KRUGERPARK,buurtpark,KRUGERPLEIN,BORGERHOUT,2140,Cluster Zuid,SB,481.230018711849,10601.0210217379
26352,GALGENWEELPARK,park,AALSCHOLVERLAAN,ANTWERPEN,2050,Cluster Zuid,SB,4123.78403097069,131133.953590205
26353,HYDEPARK,buurtpark,HYDEPARKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB,372.079554154746,5060.55764812752
26354,MAURITS SABBELAAN buurtpark,buurtpark,MAURITS SABBELAAN,ANTWERPEN,2020,Cluster Zuid,SB,358.203164055167,5389.71877536338
26355,MAURITS SABBELAAN,buurtpark,MAURITS SABBELAAN,ANTWERPEN,2020,Cluster Zuid,niet SB,272.629475366242,2506.70565702229
